"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
1,"https://www.inc.com/profile/digital-forensic-services","Digital Forensic Services","digitalforensics-usa.com","MD",2.1,358.507,"Government Services",18,2014,1,4,"Washington, DC","Greenbelt"
2,"https://www.inc.com/profile/farber-company-attorneys","Farber & Company Attorneys","pacificworkers.com","CA",3.7,357.8345,"Consumer Products & Services",32,2013,2,20,"San Francisco","Oakland"
3,"https://www.inc.com/profile/colorado-health-rehab","Colorado Health & Rehab","strivept.net","CO",2.9,353.2193,"Health",37,2014,1,16,NA,"Colorad Springs"
4,"https://www.inc.com/profile/ppt-solutions-oklahoma","PPT Solutions (Oklahoma)","pptsolutions.com","OK",7.3,352.8649,"Business Products & Services",16,2013,2,5,"Tulsa, OK","Tulsa"
5,"https://www.inc.com/profile/northwestern-improvement-company","Northwestern Improvement Company","trestlecm.com","WA",2.9,352.6441,"Real Estate",24,2014,1,8,"Seattle","Bellevue"
6,"https://www.inc.com/profile/ryan-geldermann","Ryan Geldermann","shutterandsound.net","MD",2.3,352.6062,"Media",7,2011,1,1,"Baltimore","Baltimore"
7,"https://www.inc.com/profile/shearer","Shearer","shearerassociates.us","AL",6.4,352.1534,"Engineering",31,2000,7,13,"Huntsville, AL","Huntsville"
8,"https://www.inc.com/profile/thin-air-brands","Thin Air Brands","thinairbrands.com","CO",2.3,351.4951,"Consumer Products & Services",1,2014,1,1,"Denver","Parker"
9,"https://www.inc.com/profile/soho-dragon","SoHo Dragon","sohodragon.com","NY",6.8,351.2027,"IT System Development",60,2010,3,30,"New York City","New York"
10,"https://www.inc.com/profile/southwest-geotechnical","Southwest Geotechnical","swgeo.us","NV",3.9,351.0589,"Engineering",33,2014,2,10,"Las Vegas, NV","Las Vegas"
11,"https://www.inc.com/profile/the-aspire-software-company","The Aspire Software Company","youraspire.com","MO",5.8,349.9443,"Software",40,2013,1,8,"St. Louis, MO-IL","Chesterfield"
12,"https://www.inc.com/profile/eyekor","EyeKor","eyekor.com","WI",5.6,349.857,"Health",31,2012,2,7,"Madison, WI","Madison"
13,"https://www.inc.com/profile/stretch-shapes","Stretch Shapes","stretchshapes.net","OR",4.3,349.2719,"Business Products & Services",27,2009,1,11,NA,"Eugene"
14,"https://www.inc.com/profile/premier-remodeling","Premier Remodeling","remodelbypremier.com","UT",3,349.2555,"Construction",10,2014,1,3,"Ogden-Clearfield, UT","Layton"
15,"https://www.inc.com/profile/hideit-mounts","HIDEit Mounts","hideitmounts.com","NV",2.9,348.4001,"Consumer Products & Services",14,2012,2,4,NA,"Reno"
16,"https://www.inc.com/profile/stone-glacier","Stone Glacier","stoneglacier.com","MT",2.6,344.9416,"Consumer Products & Services",7,2012,1,2,NA,"Bozeman"
17,"https://www.inc.com/profile/eff-creative-group","Eff Creative Group","effcreative.com","NY",2.7,343.9375,"Advertising & Marketing",12,2013,3,7,"New York City","New York"
18,"https://www.inc.com/profile/strike-visuals","Strike Visuals","strikenow.com","UT",2.4,343.089,"Business Products & Services",22,2015,1,2,"Ogden-Clearfield, UT","Woods Cross"
19,"https://www.inc.com/profile/federal-strategies","Federal Strategies","fed-strat.com","VA",4.1,340.3644,"Government Services",28,2014,2,15,"Washington, DC","Fredericksburg"
20,"https://www.inc.com/profile/gentech-associates","GenTech Associates","gentechassociates.com","IN",4.2,339.9573,"Government Services",42,2005,2,11,"Indianapolis, IN","Avon"
21,"https://www.inc.com/profile/oklahoma-led","Oklahoma LED","oklahomaled.com","OK",5.1,338.6578,"Construction",22,2012,3,2,"Tulsa, OK","Tulsa"
22,"https://www.inc.com/profile/team-solutions-dental","Team Solutions Dental","tsdlab.com","FL",7,337.9541,"Manufacturing",51,2013,1,18,"Orlando, FL","sanford"
23,"https://www.inc.com/profile/dome-headwear-company","Dome Headwear","http://domehats.com","FL",2.7,337.4377,"Consumer Products & Services",8,2010,1,3,"Jacksonville, FL","Jacksonville Beach"
24,"https://www.inc.com/profile/fix-it-people","Fix It People","http://fixitpeople.com","IL",2.1,337.2098,"Real Estate",12,2012,1,5,"Chicago","Chicago"
